Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,MI,2019,"9         ",Male,14,Right-Handed,170.1,25.2,166.5,1,Bus,15,0.703,45,Baseball/Softball,500,1000,1000,1000,200,1000,23,"Right foot","90 ",80,"Index finger",July,Summer,Yes,No,Poultry,Milk,"Physical education",6,8,4,"Yes - broadband connection","Text messaging",234,250,15,6,1,3,2,20,0,6,8,1,0,0,None,"Graduate degree","Rap/Hip hop","Super strength",Famous,"Business person","International aid"
USA,HI,2011,"9         ",Female,14,Right-Handed,166,25,166,1,Car,60,0.3,"34 ",Skateboarding/Rollerblading,800,700,600,,900,1000,27,"Left foot",7.5,7.8,"Ring finger",July,Summer,Yes,No,"Rice/Noodle dishes","Soft drink (caffeinated)",Art,10,7,5,"Yes - broadband connection","Text messaging",40,43,150,30,7,48,10,20,20,40,40,20,6,6,"A lot","Graduate degree","Punk rock","Freeze time",Happy,"Doctor or nurse",Health
USA,MI,2018,"9         ",Male,14,Right-Handed,181,30,180,1,Bus,60,.375,55,Other,800,800,900,1000,1000,800,30,"Same length",100,110,"Ring finger",May,Spring,No,No,Fruit,Other,"Physical education",7,10,3,"Yes - broadband connection","Internet chat or instant messaging",3,5,,,,,,,,,,,,,"A lot","Graduate degree",Other,"Freeze time",Rich,"Business person",Environment
USA,MN,2018,"9         ",Female,14,Right-Handed,167,23.8,,1,Walk,15,047,60,Dancing,497,1000,503,968,0,529,24,"Same length",,,"Ring finger",June,Summer,No,No,Desserts,Water,Music,8,5,3,"Yes - other","Text messaging",30,100,10,0,0,3,1,12,12,12,5,1,0,0,"A lot","Graduate degree","Rap/Hip hop",Telepathy,Healthy,Relative,"Arts, culture, sports"
USA,CA,2019,"9         ",Male,17,Ambidextrous,1.73,27.5,85,one,Car,"5 min",0.356,35,Soccer,800,1000,1000,900,600,450,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,GU,2014,"9         ",Female,15,Right-Handed,155,23,155,2,Other,5,1.435,76,Other,999,998,997,996,450,50,22,"Right foot",75,84,"Ring finger",December,Summer,No,No,Fruit,Other,Music,"5 ",9,6,"Yes - other","Myspace, Facebook, other social networking sites, or blog",150,125,40,5,10,25,50,1,9,10,5,15,25,35,"A lot",Other,Pop,Invisibility,Happy,"Musician or singer","Arts, culture, sports"
USA,CA,2016,"9         ",Female,14,Right-Handed,5.4,,,2,Car,20,0.365,,"Martial Arts",567,567,727,503,690,829,,"Same length",,,"Ring finger",June,Winter,No,No,Fruit,Juice,Art,8,10,5,"Yes - other","Text messaging",0,0,2,1,8,20,6,7,7,0,10,5,0,0,Some,"Some college",Other,Fly,Famous,Actor,"International aid"
USA,IA,2012,"9         ",Female,14,Right-Handed,152,20,156,1,Bus,5,.48,41,Other,500,55,400,75,15,50,21,"Left foot",65,68,"Ring finger",July,Fall,No,No,Pizza/Pasta,Water,"Mathematics and statistics",7,10,5,"Yes - broadband connection","Text messaging",300,300,12,12,3,6,14,0,7,14,14,5,0,2,"Very little",Other,Pop,Invisibility,Happy,Actor,Health
USA,NY,2019,"9         ",Female,15,Right-Handed,154,24,164,2,"Rail (Train/Tram/Subway)",30,2,20,Soccer,800,800,1000,1000,0,0,24,"Same length",7,7,"Same length",February,Winter,Yes,No,"No favorite",Water,"Physical education",5,5,6,"Yes - broadband connection","Text messaging",idk,40,1,0,1,3,6,0,0,24,0,0,3,3,Some,"Graduate degree","Rap/Hip hop",Fly,Happy,Relative,Health
USA,UT,2013,"9         ",Female,14,Right-Handed,170.2,25.45,175,"1 ",Car,4,0.332,40,Swimming,500,300,500,500,10,5,17.15,"Same length",7.62,3.81,"Ring finger",June,Spring,Yes,No,Fruit,Water,"Physical education",8,9,14,"Yes - broadband connection","In person",23,24,3,0,1,15,5,.5,7,2,8,2,6,1,Some,"Graduate degree",,Fly,Healthy,Relative,"Education/Youth development"
USA,MN,2018,"9         ",Female,14,Left-Handed,162.5,24.1,,2,Bus,130,1.554,49,Dancing,1000,1000,1000,50,0,0,24.1,"Same length",2,1,"Index finger",December,Summer,No,No,Desserts,Water,History,8,6,5,"No internet connection",,0,0,0,0,2,8,0,0,0,0,0,1,0,5,"A lot",Other,Other,"Freeze time",Happy,"Musician or singer","International aid"
USA,DE,2015,"9         ",Female,18,Right-Handed,165.1,35,165.1,1,Car,5,0.64,55,Athletics,10,15,20,10,4,20,33,"Right foot",9,8.5,"Index finger",September,Fall,Yes,No,Pizza/Pasta,Water,History,4,12,4,"Yes - broadband connection","Text messaging",347,758,2,8,1,18,3,0,2,19,1,3,25,4,Some,"High school","Rap/Hip hop",Invisibility,Happy,Relative,Health
USA,NC,2016,"9         ",Female,14,Left-Handed,169,25,,1,Bus,35,.488,34,Baseball/Softball,353,43,503,155,572,866,25,"Same length",101,75,"Index finger",December,Winter,No,No,Poultry,"Soft drink (caffeinated)","Mathematics and statistics",8,10,4,"Yes - broadband connection","Text messaging",15,18,5,5,7,6,10,4,10,24,15,15,0,,,,,,,,
USA,MI,2019,"9         ",Male,63,Right-Handed,169.7,26.5,175,1,Car,16,0.717,48,Other,600,400,300,700,1000,1000,26.1,"Right foot",11,10.5,"Index finger",March,Summer,No,No,Pizza/Pasta,Water,Music,7,10,5,"Yes - other","Myspace, Facebook, other social networking sites, or blog",0,0,30,0.1,4,1,0,60,34,0,56,1,0,0,Some,"Graduate degree",Jazz,Fly,,"Religious figure",Environment
USA,DC,2010,"9         ",Female,14,Right-Handed,164,24,180,2,Walk,20,0.61,41,Swimming,401,43,1000,,1000,1000,9,"Left foot",100,,,April,Summer,No,No,Pizza/Pasta,Water,English,6,7,4,"No internet connection","Cell phone",25,23,10,5,30,3,2,0,1,7,20,1,0,0,Some,"Some college","Rhythm and blues (R&B)","Freeze time",Rich,Friend,Health
